Range,Duration,Target,Raised,Category
0-4999,30,0,0,1
0-4999,30,500,0,0
0-4999,30,500,500,1
0-4999,30,1000,0,0
0-4999,30,1000,500,0
0-4999,30,1000,1000,1
0-4999,30,1500,0,0
0-4999,30,1500,500,0
0-4999,30,1500,1000,0
0-4999,30,1500,1500,1
0-4999,30,2000,0,0
0-4999,30,2000,500,0
0-4999,30,2000,1000,0
0-4999,30,2000,1500,0
0-4999,30,2000,2000,1
0-4999,30,2500,0,0
0-4999,30,2500,500,0
0-4999,30,2500,1000,0
0-4999,30,2500,1500,0
0-4999,30,2500,2000,0
0-4999,30,2500,2500,1
0-4999,30,3000,0,0
0-4999,30,3000,500,0
0-4999,30,3000,1000,0
0-4999,30,3000,1500,0
0-4999,30,3000,2000,0
0-4999,30,3000,2500,0
0-4999,30,3000,3000,1
0-4999,30,3500,0,0
0-4999,30,3500,500,0
0-4999,30,3500,1000,0
0-4999,30,3500,1500,0
0-4999,30,3500,2000,0
0-4999,30,3500,2500,0
0-4999,30,3500,3000,0
0-4999,30,3500,3500,1
0-4999,30,4000,0,0
0-4999,30,4000,500,0
0-4999,30,4000,1000,0
0-4999,30,4000,1500,0
0-4999,30,4000,2000,0
0-4999,30,4000,2500,0
0-4999,30,4000,3000,0
0-4999,30,4000,3500,0
0-4999,30,4000,4000,1
0-4999,30,4500,0,0
0-4999,30,4500,500,0
0-4999,30,4500,1000,0
0-4999,30,4500,1500,0
0-4999,30,4500,2000,0
0-4999,30,4500,2500,0
0-4999,30,4500,3000,0
0-4999,30,4500,3500,0
0-4999,30,4500,4000,0
0-4999,30,4500,4500,1
0-4999,30,5000,0,0
0-4999,30,5000,500,0
0-4999,30,5000,1000,0
0-4999,30,5000,1500,0
0-4999,30,5000,2000,0
0-4999,30,5000,2500,0
0-4999,30,5000,3000,0
0-4999,30,5000,3500,0
0-4999,30,5000,4000,0
0-4999,30,5000,4500,0
0-4999,30,5000,5000,1
0-4999,60,0,0,1
0-4999,60,500,0,0
0-4999,60,500,500,1
0-4999,60,1000,0,0
0-4999,60,1000,500,0
0-4999,60,1000,1000,1
0-4999,60,1500,0,0
0-4999,60,1500,500,0
0-4999,60,1500,1000,0
0-4999,60,1500,1500,1
0-4999,60,2000,0,0
0-4999,60,2000,500,0
0-4999,60,2000,1000,0
0-4999,60,2000,1500,0
0-4999,60,2000,2000,1
0-4999,60,2500,0,0
0-4999,60,2500,500,0
0-4999,60,2500,1000,0
0-4999,60,2500,1500,0
0-4999,60,2500,2000,0
0-4999,60,2500,2500,1
0-4999,60,3000,0,0
0-4999,60,3000,500,0
0-4999,60,3000,1000,0
0-4999,60,3000,1500,0
0-4999,60,3000,2000,0
0-4999,60,3000,2500,0
0-4999,60,3000,3000,1
0-4999,60,3500,0,0
0-4999,60,3500,500,0
0-4999,60,3500,1000,0
0-4999,60,3500,1500,0
0-4999,60,3500,2000,0
